z,,,,,,,,,,,,Απογράφων/ ουσα/ οντες,,,,
Item #,Description / Value,Link,Distributor,ΤΟΠΟΘΕΣΙΑ,Για Παραγγελια,stock,,,,29/09/2025 Γρηγορης & Βετερανος,,,,,,
72,Στηριγματα ντιζας School,https://www.amazon.de/-/en/sourcing-Articulated-Aluminium-Printer-Coupling/dp/B09D35FXJY/ref=sr_1_12?crid=2R9O7M5Z1Z3FP&dib=eyJ2IjoiMSJ9.hsxBkuNRVd4C1VtrUIPJaSqEffaxUKD5Db6dN4Lfni7-AH6NEqK-BJqWmuvDi5uIyDVbhxuEfqUi1Im6WGSGopP7v-ncLwxxJY0cWONLam_9opo1wUQi8_5nGsqkSHAWeeo41bO5Ukp-cD9cRL8hNW0JmLYn50xT7SKsv-q3buxYCEB5K3clI7Js1zi766eereXH5SKOT06LmwgW4XvBd3lkerg2SiOt6lTOthFK_Zc.WtWRWmb4r3UM1Moh6JBGJE4kLYdg8FV7P_vwooNRtLU&dib_tag=se&keywords=uxcell+8mm+to+8mm+Shaft+Coupling+40mm+Length+25mm+Diameter+Coupler+Aluminum+Alloy+Joint+Motor+for+3D+Printer+CNC+Machine+DIY+Encoder&qid=1715606652&sprefix=uxcell+8mm+to+8mm+shaft+coupling+40mm+length+25mm+diameter+coupler+aluminum+alloy+joint+motor+for+3d+printer+cnc+machine+diy+encoder%2Caps%2C150&sr=8-12,Amazon,,,,,https://www.amazon.de/-/en/sourcing-Coupling-Connector-L25XD14-Aluminium/dp/B08G52LZHL/ref=sr_1_17?crid=2R9O7M5Z1Z3FP&dib=eyJ2IjoiMSJ9.hsxBkuNRVd4C1VtrUIPJaSqEffaxUKD5Db6dN4Lfni7-AH6NEqK-BJqWmuvDi5uIyDVbhxuEfqUi1Im6WGSGopP7v-ncLwxxJY0cWONLam_9opo1wUQi8_5nGsqkSHAWeeo41bO5Ukp-cD9cRL8hNW0JmLYn50xT7SKsv-q3buxYCEB5K3clI7Js1zi766eereXH5SKOT06LmwgW4XvBd3lkerg2SiOt6lTOthFK_Zc.WtWRWmb4r3UM1Moh6JBGJE4kLYdg8FV7P_vwooNRtLU&dib_tag=se&keywords=uxcell+8mm+to+8mm+Shaft+Coupling+40mm+Length+25mm+Diameter+Coupler+Aluminum+Alloy+Joint+Motor+for+3D+Printer+CNC+Machine+DIY+Encoder&qid=1715608661&sprefix=uxcell+8mm+to+8mm+shaft+coupling+40mm+length+25mm+diameter+coupler+aluminum+alloy+joint+motor+for+3d+printer+cnc+machine+diy+encoder%2Caps%2C150&sr=8-17,,,,,,,,
73,τσερκι,,,ΕΞΩ Γ,,0,22/12/25,,,,,,,,,
74,moter school grobotronics,https://grobotronics.com/dc-planetary-gear-motor-42mm-12v-80rpm.html,GROBOTRONICS,,,0,24/11/25,,,,,,,,,
75,souko male,,,ΕΞΩ Ε,,139,12/2/25,,,,,,,,,
76,souko female,,,ΕΞΩ Ε,,113,12/2/25,,,,,,,,,
77,Arcade Button with led,:,.,ΕΞΩ Β,,,,,,,,,,,,
78,κοκκινα,,,,,8,22/12/25,,,,,,,,,
79,μπλε,,,,,8,22/12/25,,,,,,,,,
80,ασπρα,,,,,14,22/12/25,,,,,,,,,
81,πρασινα,,,,,22,22/12/25,,,,,,,,,
82,κιτρινα,,,,,11,22/12/25,,,,,,,,,
83,cannons,,,,,22,22/12/25,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,παλια  buttons without led,,,,,:,,,,,,,,,,
86,μαυρα,,,,,3,22/12/25,,,,,,,,,
87,κιτρινα,,,,,5,22/12/25,,,,,,,,,
88,ασπρα,,,,,7,22/12/25,,,,,,,,,
89,πρασινα,,,,,0,22/12/25,,,,,,,,,
90,κόκκινα,,,,,9,22/12/25,,,,,,,,,
91,buzz buttons,,,ΑΠΟΘΗΚΗ,,,,,,,,,,,,
92,red,,,,,9 (+7 Adafruit),22/12/25,,,,,,,,,
93,white,,,,,29 (+1 adafruit),22/12/25,,,,,,,,,
94,blue,,,,,21 (+ 6 adafruit),22/12/25,,,,,,,,,
95,green,,,,,28 ( + 2 adafruit),22/12/25,,,,,,,,,
96,yellow,,,,,26 (+2 adafruit),22/12/25,,,,,,,,,
97,buzz buttons leds,,,,,,,,,,,,,,,
98,blue,,,,,25,24/11/25,,,,,,,,,
99,green,,,,,28,24/11/25,,,,,,,,,
100,white,,,,,33,24/11/25,,,,,,,,,
101,yellow,,,,,30,24/11/25,,,,,,,,,
102,red,,,,,1,24/11/25,,,,,,,,,
103,βαση για led και spdt,,,,,100,24/11/25,,,,,,,,,
104,spdt καινουργια,,,,,95,24/11/25,,,,,,,,,
105,βασεις lidar,,,ΓΡΑΦΕΙΟ,,17,24/11/25,,,,,,,,,
106,lidar,,,ΓΡΑΦΕΙΟ,χωρις καλώδια,18,24/11/25,,,,,,,,,
107,optoisolators,,,ΓΡΑΦΕΙΟ,,90,24/11/25,,,,,,,,,
108,sensors for basket,"https://www.aliexpress.com/item/1005007110030144.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.3.20a0c9TZc9TZ7F&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=2a25853e-3540-4de5-ac1a-7b5de25a25cd&_t=gps-id:pcDetailBottomMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:2a25853e-3540-4de5-ac1a-7b5de25a25cd,tpp_buckets:668%232846%238116%232002&pdp_ext_f=%7B%22order%22%3A%225%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%216.00%216.00%21%21%216.73%216.73%21%402103919917623365918615697e2e23%2112000039438096919%21rec%21GR%214504435866%21ABX%211%210%21n_tag%3A-29910%3Bd%3A877f049b%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005007110030144%7C_p_origin_prod%3A",NPN NO,ΓΡΑΦΕΙΟ,,3,24/11/25,,,,,,,,,
109,IR Break beam sensors (π.χ. Λαβυρινθος),,,ΓΡΑΦΕΙΟ,,75,22/12/25,,,,,,,,,
110,ir κουρτινα μικρη,,,ΑΠΟΘΗΚΗ,,"100 ζευγαρια, ",22/12/2025,,,,,,,,,
111,ir κουρτινα μεσαιια,,,ΑΠΟΘΗΚΗ,,20 ζευγαρια,22/12/2025,,,,,,,,,
112,ir κουρτινα μεγαλη,,,ΑΠΟΘΗΚΗ ΚΑΙ ΠΑΝΩ,,16,22/12/2025,,,,,,,,,
113,Ελατηρια απογυμνωτων,,,ΓΡΑΦΕΙΟ,,10,29/09/25,,,,,,,,,
114,Connector Pins,,,,,400,24/11/25,,,,,,,,,
115,On/Off switches,,,,,3,7/11/25,,,,,,,,,
116,IR ΠΟΡΤΟΚΑΛΙ,,,ΓΡΑΦΕΙΟ,,13,7/11/25,,,,,,,,,
117,Red Ls,,,ΑΠΟΘΗΚΗ,,0,24/11/25,,,,,,,,,
118,FTDI,,,ΓΡΑΦΕΙΟ,,31,24/11/25,,,,,,,,,
119,Τροφοδοτικα FIND THE EVIDENCE,,,ΑΠΟΘΗΚΗ,,3,22/12/2025,,,,,,,,,
120,FILM ΕΠΑΦΕΣ FIND THE EVIDENCE,,,,,20 ΖΕΥΓΑΡΙΑ,22/12/2025,,,,,,,,,
121,Αποστατες,https://www.tme.eu/gr/en/details/dr3810_5.2x30/plastic-standoffs/dremec/3810-5-2x30/,.,,,800,22/12/25,,,,,,,,,
